SkillName,Price,bids,is_urgent,is_fulltime,is_bold,is_private
تری دی مکس (3DS MAX),6000000,16,0,0,0,0
مای اسکیوال (MySQL),1000000,27,0,0,0,0
پی اچ پی (PHP),1000000,27,0,0,0,0
وردپرس (WordPress),1000000,27,0,0,0,0
سی اس اس (CSS),1000000,27,0,0,0,0
برنامه نویسی تحت وب,1000000,27,0,0,0,0
پی اچ پی (PHP),1500000,18,0,0,0,0
پرستاشاپ (Prestashop),1500000,18,0,0,0,0
فروشگاه,1500000,18,0,0,0,0
برنامه نویسی تحت وب,1500000,18,0,0,0,0
3D Animation,500000,14,0,0,0,0
خدمات ویدئویی,500000,14,0,0,0,0
ادوبی پریمیر (Adobe Primiere),500000,14,0,0,0,0
فیلم‌برداری,500000,14,0,0,0,0
HTML,1500000,2,1,0,0,0
سی اس اس (CSS),1500000,2,1,0,0,0
برنامه نویسی تحت وب,1500000,2,1,0,0,0
ویو جی اس (VueJs),1500000,2,1,0,0,0
HTML,500000,11,0,0,0,0
پی اچ پی (PHP),500000,11,0,0,0,0
برنامه نویسی تحت وب,500000,11,0,0,0,0
مدیریت پیج اینستاگرام (ادمین),1500000,22,0,0,0,0
تدوین استراتژی محتوا,1500000,22,0,0,0,0
HTML,3000000,26,0,0,0,0
سی اس اس (CSS),3000000,26,0,0,0,0
برنامه نویسی,1500000,1,0,0,0,0
مهندسی برق,1500000,0,1,0,0,0
متلب (Matlab),1500000,0,1,0,0,0
HTML,120000,8,0,0,0,0
پی اچ پی (PHP),120000,8,0,0,0,0
برنامه نویسی تحت وب,120000,8,0,0,0,0
پی اچ پی (PHP),5000000,18,1,0,1,0
وردپرس (WordPress),5000000,18,1,0,1,0
اکسل (Excel),500000,34,0,0,0,0
3D Animation,6000000,17,0,0,0,0
مدل سازی ۳ بعدی (3D Modelling),6000000,17,0,0,0,0
انیمیشن,6000000,17,0,0,0,0
تدوین ویدیو و کلیپ,6000000,17,0,0,0,0
تولید ویدئو,6000000,17,0,0,0,0
وردپرس (WordPress),15000000,48,0,0,0,0
طراحی تجربه کاربری (UX),15000000,48,0,0,0,0
طراحی رابط کاربری (UI),15000000,48,0,0,0,0
Link Building,6000000,23,0,0,0,0
سئو (SEO),6000000,23,0,0,0,0
بازاریابی اینترنتی,6000000,23,0,0,0,0
اکسس (Microsoft Access),3000000,7,0,0,1,0
خدمات ویدئویی,500000,22,0,0,0,0
مای اسکیوال (MySQL),3000000,24,0,0,0,0
پی اچ پی (PHP),3000000,24,0,0,0,0
سی اس اس (CSS),3000000,24,0,0,0,0
برنامه نویسی تحت وب,3000000,24,0,0,0,0
طراحی تبلیغات,500000,35,0,0,0,0
طراحی بنر,500000,35,0,0,0,0
Flash,500000,35,0,0,0,0
فوتوشاپ (Photoshop),500000,35,0,0,0,0
ASP.Net,1000000,11,0,0,0,0
سی شارپ (C#),1000000,11,0,0,0,0
برنامه نویسی تحت وب,1000000,11,0,0,0,0
طراحی گرافیک,500000,9,1,0,0,0
طراحی 2 بعدی,500000,9,1,0,0,0
طراحی بنر,500000,28,0,0,0,0
