,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
27,طراحی بازی ویدئویی,برنامه نویسی فرانت اند,0.0028504793988079814,0.0033687483804094327,0.0002591344908007256,0.09090909090909091,26.986013986013987,0.00024953194294260073,1.0962943767815496,0.9656964656964656
28,گرافیک رایانه‌ای,طراحی بازی ویدئویی,0.00233221041720653,0.0028504793988079814,0.0002591344908007256,0.11111111111111112,38.97979797979798,0.000252486573052793,1.121793210676341,0.9766233766233766
29,طراحی بازی ویدئویی,گرافیک رایانه‌ای,0.0028504793988079814,0.00233221041720653,0.0002591344908007256,0.09090909090909091,38.97979797979798,0.000252486573052793,1.097434568541073,0.9771309771309771
30,Game Development,طراحی بازی ویدئویی,0.0015548069448043534,0.0028504793988079814,0.0007774034724021767,0.5,175.4090909090909,0.0007729715272368883,1.994299041202384,0.9958473916428756
31,طراحی بازی ویدئویی,Game Development,0.0028504793988079814,0.0015548069448043534,0.0007774034724021767,0.2727272727272727,175.4090909090909,0.0007729715272368883,1.372862140450894,0.997141372141372
32,یونیتی (Unity),نود جی اس (Node.js),0.003627882871210158,0.00932884166882612,0.0002591344908007256,0.07142857142857142,7.656746031746032,0.00022529054590215972,1.0668766320489564,0.8725617685305592
33,نود جی اس (Node.js),یونیتی (Unity),0.00932884166882612,0.003627882871210158,0.0002591344908007256,0.02777777777777778,7.6567460317460325,0.00022529054590215972,1.0248398919038981,0.8775830499607638
34,Golang,نود جی اس (Node.js),0.001295672454003628,0.00932884166882612,0.0002591344908007256,0.19999999999999998,21.438888888888886,0.0002470473676226663,1.2383389479139673,0.9545926310326933
35,نود جی اس (Node.js),Golang,0.00932884166882612,0.001295672454003628,0.0002591344908007256,0.02777777777777778,21.43888888888889,0.0002470473676226663,1.0272387369044533,0.9623332461417733
36,مای اسکیوال (MySQL),نود جی اس (Node.js),0.05752785695776108,0.00932884166882612,0.0005182689816014512,0.009009009009009009,0.9657157157157158,-1.8399287504379026e-05,0.9996772597705482,-0.03630100688924211
37,نود جی اس (Node.js),مای اسکیوال (MySQL),0.00932884166882612,0.05752785695776108,0.0005182689816014512,0.05555555555555556,0.9657157157157157,-1.8399287504379026e-05,0.997911680868253,-0.03459595959595952
38,پی اچ پی (PHP),نود جی اس (Node.js),0.21663643430940657,0.00932884166882612,0.004146151852811609,0.019138755980861247,2.05156831472621,0.0021251848574401046,1.0100013272742212,0.6543169037380087
39,نود جی اس (Node.js),پی اچ پی (PHP),0.00932884166882612,0.21663643430940657,0.004146151852811609,0.4444444444444445,2.0515683147262096,0.0021251848574401046,1.410054418243068,0.5173947161914727
40,نود جی اس (Node.js),برنامه نویسی تحت وب,0.00932884166882612,0.20342057527856958,0.004405286343612335,0.47222222222222227,2.321408351026186,0.002507608004657035,1.5093083836827106,0.5745872505423828
41,برنامه نویسی تحت وب,نود جی اس (Node.js),0.20342057527856958,0.00932884166882612,0.004405286343612335,0.021656050955414015,2.321408351026186,0.002507608004657035,1.0126000772004837,0.7145891538137702
42,فروشگاه,نود جی اس (Node.js),0.02047162477325732,0.00932884166882612,0.0005182689816014512,0.025316455696202535,2.713783403656822,0.0003272924353881152,1.0164028767293862,0.6447089947089948
43,نود جی اس (Node.js),فروشگاه,0.00932884166882612,0.02047162477325732,0.0005182689816014512,0.05555555555555556,2.7137834036568216,0.0003272924353881152,1.037147691416551,0.6374574941145696
44,HTML,نود جی اس (Node.js),0.15159367711842447,0.00932884166882612,0.0020730759264058047,0.013675213675213675,1.4659069325735994,0.0006588825145728736,1.004406633663322,0.37461820403176543
45,نود جی اس (Node.js),HTML,0.00932884166882612,0.15159367711842447,0.0020730759264058047,0.22222222222222224,1.4659069325735992,0.0006588825145728736,1.0908081294191685,0.32082134449385297
46,طراحی تجربه کاربری (UX),نود جی اس (Node.js),0.020212490282456596,0.00932884166882612,0.0002591344908007256,0.01282051282051282,1.3742877492877492,7.057536922300145e-05,1.00353701753028,0.2779687913250463
47,نود جی اس (Node.js),طراحی تجربه کاربری (UX),0.00932884166882612,0.020212490282456596,0.0002591344908007256,0.02777777777777778,1.3742877492877492,7.057536922300145e-05,1.007781438566616,0.2749149882291394
48,طراحی رابط کاربری (UI),نود جی اس (Node.js),0.023581238662866027,0.00932884166882612,0.0002591344908007256,0.01098901098901099,1.177960927960928,3.914884896004744e-05,1.0016786156459647,0.15472399150743105
49,نود جی اس (Node.js),طراحی رابط کاربری (UI),0.00932884166882612,0.023581238662866027,0.0002591344908007256,0.02777777777777778,1.177960927960928,3.914884896004744e-05,1.0043164402324807,0.15249803818990326
50,نود جی اس (Node.js),پایتون (Python),0.00932884166882612,0.03938844260171029,0.001295672454003628,0.1388888888888889,3.526133040935673,0.0009282239093906272,1.1155489053657557,0.723149359142035
